Date,ABT,AAPL,T,BAC,BRK-B,CVX,CSCO,C,KO,COP,XOM,GE,GS,GOOG,HPQ,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,ORCL,PEP,PFE,PG,SLB,VZ,WMT,WFC
20060103,0.00319026,0.03978300,0.00885417,0.02017067,0.01004940,0.04074913,0.01927570,0.01566952,0.02255210,0.04005552,0.04086444,0.00917120,0.00907382,0.04910090,0.00688905,-0.00171143,0.02446760,0.02535265,0.01247166,-0.00578428,0.04026074,0.02619543,0.03153527,0.01163456,0.01941748,0.01556723,0.06385752,0.00841080,-0.01215237,0.01531170
20060104,0.00144550,0.00294314,0.00722767,-0.01064639,0.00067454,-0.00296619,0.02292264,-0.01846657,-0.00195422,-0.00838894,0.00169875,-0.00134635,-0.01385288,0.02299933,0.02916817,-0.00131874,0.01371075,0.01543038,-0.00559910,0.00889802,0.01142647,0.00486224,0.00160901,-0.00056561,0.03227513,0.00191608,0.01327072,0.02941176,0.00189260,-0.01149013
20060105,0.01299076,-0.00786981,0.00256279,0.00128107,-0.00235929,-0.01209837,0.02801120,0.00500119,0.00475524,-0.00788310,-0.00489919,-0.00269633,-0.00032860,0.01347588,-0.00699790,0.00673445,0.01352531,-0.00402783,0.00281532,0.00101764,0.00145773,0.00080645,0.01365462,-0.00584795,0.00153767,-0.00325110,-0.00503728,0.01151386,-0.01369540,-0.00108972
20060106,0.01909376,0.02581339,0.01278119,-0.00153531,0.00337838,0.01806866,0.02288828,0.00000000,0.00946548,0.02286822,0.01969324,0.00709699,0.01413428,0.03195639,0.02854123,0.02964323,0.00172191,0.00441176,0.00701853,0.00609963,-0.00181951,-0.00282031,0.02535658,0.00360531,0.01074719,-0.00095932,0.03138923,0.00379427,0.00430931,0.00581818
20060109,0.03719239,-0.00327654,0.00353357,0.00076884,0.00303030,-0.00492999,0.01545019,-0.00473934,0.00496415,-0.00018947,-0.00055710,-0.00268456,0.01207358,0.00266289,0.01267557,-0.01439490,0.00601633,0.00622255,0.01644829,0.01886157,0.01640540,-0.00202020,-0.01777434,-0.00491586,0.00000000,0.00748992,-0.01374435,0.00419992,-0.00381406,0.00000000
20060110,-0.00970612,0.06324786,-0.00603622,-0.00845070,-0.00302115,0.00495442,-0.00472193,0.00309524,0.00082327,-0.00189502,0.00780379,-0.00538358,0.01257006,0.00612551,0.00507442,0.00413597,-0.01324220,0.00181884,0.00137137,0.00099174,-0.00968436,0.00526316,-0.02045633,-0.00342010,-0.01620253,-0.00381243,0.01094963,0.00418235,0.00335008,-0.00108460
20060111,-0.00707868,0.03759584,0.00809717,-0.00232438,-0.00202020,0.01005719,0.02266737,0.00901970,0.00054840,0.00018986,0.00682153,0.00676590,-0.00047442,0.00398076,0.01817570,0.00115845,0.00086580,-0.00962237,-0.00082169,0.01717305,0.00362188,0.01087394,-0.00160643,-0.00400381,0.01235203,0.00344432,0.00078771,0.01207830,0.01550203,0.00542888
20060112,-0.00219358,0.00464839,-0.00451807,-0.00647165,-0.00641026,0.00078094,-0.01030928,0.00117619,-0.00548095,0.00000000,-0.01043765,-0.01209677,0.00213591,-0.01696245,-0.01024793,-0.00707123,-0.00648789,-0.00458295,-0.01836623,-0.01558442,0.00072176,-0.00557769,-0.00643604,-0.00038285,-0.00660905,-0.01106026,-0.01711924,0.00370370,-0.01784876,-0.01187905
20060113,-0.00357241,0.01542294,0.00100857,0.00000000,0.00237691,0.00799844,-0.01458333,-0.00234962,-0.00330670,-0.00018983,0.02239082,0.00306122,0.00757815,0.00565106,0.02839011,-0.00479088,-0.00696561,-0.00626151,-0.00083775,-0.00923483,-0.00036062,0.00160256,-0.00080972,-0.00229797,0.00358240,0.00848438,0.01781782,0.00205002,-0.00741272,0.00582878
20060117,-0.00303365,-0.01028157,-0.00554156,-0.01068265,-0.00304878,0.02477260,-0.01268499,-0.00989166,-0.00663533,0.05809759,0.00923077,-0.00474737,-0.00501410,0.00184450,-0.00746996,-0.00208171,-0.01052170,-0.00871016,-0.00503074,0.00366178,-0.00757576,-0.00720000,-0.00567261,-0.00460653,-0.01580826,-0.00420650,0.01121164,-0.02168576,-0.00987714,-0.01014125
